MetaSources,ActivityProducedBy,IPCC/UNFCCC Category,US GHGI Table Name,Activity Category,Activity Subcategory,Activity Type,IPCC Category Code
EPA_GHGI_T_4_55,Methanol,Industrial Processes and Product Use,Table 4-55: CO2 and CH4 Emissions from Petrochemical Production (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Petrochemicals Production,2B8a
EPA_GHGI_T_4_59,HCFC-22 Production,Industrial Processes and Product Use,Table 4-59: HFC-23 Emissions from HCFC-22 Production (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,HCFC-22 Production,2B9a
EPA_GHGI_T_4_63,Fluorochemical Production,Industrial Processes and Product Use,"Table 4-63:  Emissions of HFCs, PFCs, SF6, and NF3 from production of Fluorochemicals Other Than HCFC-22 (MMT CO2 Eq.)",Process & Fugitive Gases,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,2B9b-g
EPA_GHGI_T_4_64,Fluorochemical Production,Industrial Processes and Product Use,"Table 4-64:  Emissions of HFCs, PFCs, SF6, and NF3 from production of Fluorochemicals Other Than HCFC-22 (Metric Tons)",Process & Fugitive Gases,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,2B9b-g
EPA_GHGI_T_5_18.cropland,,Agriculture,Table 5-18:  Direct N2O Emissions from Agricultural Soils by Land Use Type and Nitrogen Input Type (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Agricultural Soils - Cropland,3C4
EPA_GHGI_T_5_18.fertilizer_use,,Agriculture,Table 5-18:  Direct N2O Emissions from Agricultural Soils by Land Use Type and Nitrogen Input Type (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Agricultural Soils - Fertilizer Use,3C4
EPA_GHGI_T_5_18.pasture,,Agriculture,Table 5-18:  Direct N2O Emissions from Agricultural Soils by Land Use Type and Nitrogen Input Type (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Agricultural Soils - Pasture,3C4
EPA_GHGI_T_5_19.fertilizer_use,,Agriculture,Table 5-19:  Indirect N2O Emissions from Agricultural Soils (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Agricultural Soils - Fertilizer Use,3C5
EPA_GHGI_T_5_19.pasture,,Agriculture,Table 5-19:  Indirect N2O Emissions from Agricultural Soils (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Agricultural Soils - Pasture,3C5
EPA_GHGI_T_5_29,Maize,Agriculture,Table 5-29: CH4 and N2O Emissions from Field Burning of Agricultural Residues (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Field Burning Of Residues,3C1b
EPA_GHGI_T_5_29,Rice,Agriculture,Table 5-29: CH4 and N2O Emissions from Field Burning of Agricultural Residues (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Field Burning Of Residues,3C1b
EPA_GHGI_T_5_29,Wheat,Agriculture,Table 5-29: CH4 and N2O Emissions from Field Burning of Agricultural Residues (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Field Burning Of Residues,3C1b
EPA_GHGI_T_5_3,American Bison,Agriculture,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Enteric Fermentation,3A1j
EPA_GHGI_T_5_3,Beef Cattle,Agriculture,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Enteric Fermentation,3A1aii
EPA_GHGI_T_5_3,Dairy Cattle,Agriculture,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Enteric Fermentation,3A1ai
EPA_GHGI_T_5_3,Goats,Agriculture,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Enteric Fermentation,3A1d
EPA_GHGI_T_5_3,Horses,Agriculture,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Enteric Fermentation,3A1f
EPA_GHGI_T_5_3,Mules and Asses,Agriculture,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Enteric Fermentation,3A1g
EPA_GHGI_T_5_3,Sheep,Agriculture,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Enteric Fermentation,3A1c
EPA_GHGI_T_5_3,Swine,Agriculture,Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Enteric Fermentation,3A1h
EPA_GHGI_T_5_7,Beef Cattle,Agriculture,Table 5-7:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Manure,3A2aii
EPA_GHGI_T_5_7,Dairy Cattle,Agriculture,Table 5-7:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Manure,3A2ai
EPA_GHGI_T_5_7,Horses,Agriculture,Table 5-7:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Manure,3A2f
EPA_GHGI_T_5_7,Poultry,Agriculture,Table 5-7:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Manure,3A2i
EPA_GHGI_T_5_7,Sheep,Agriculture,Table 5-7:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Manure,3A2c
EPA_GHGI_T_5_7,Swine,Agriculture,Table 5-7:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Manure,3A2h
EPA_GHGI_T_A_5.coal_manufacturing_co2,,Energy,Table A-5: 2022 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,Fuel Combustion,Stationary Combustion,Coal Combustion for Manufacturing Purposes,1A2
EPA_GHGI_T_A_5.direct_attribution,Total (All Fuels) Residential,Energy,Table A-5: 2022 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,Fuel Combustion,Stationary Combustion,Residential,1A4b
EPA_GHGI_T_A_5.natural_gas_manufacturing,,Energy,Table A-5: 2022 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,Fuel Combustion,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,1A2;1A5
EPA_GHGI_T_A_5.non_manufacturing_coal,,Energy,Table A-5: 2022 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,Fuel Combustion,Stationary Combustion,Coal Combustion for Non-Manufacturing Purposes,1A4a;1A4c
EPA_GHGI_T_A_5.non_manufacturing_natural_gas,,Energy,Table A-5: 2022 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,Fuel Combustion,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,1A4a;1A4c
EPA_GHGI_T_A_5.petroleum,,Energy,Table A-5: 2022 Energy Consumption Data and CO2 Emissions from Fossil Fuel Combustion by Fuel Type,Fuel Combustion,Stationary Combustion,Petroleum Combustion,1A
EPA_GHGI_T_A_90,School and Tour Buses,Industrial Processes and Product Use,Table A-90: HFC Emissions from Transportation Sources (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,Refrigerant Use,2F1b
EPA_GHGI_T_A_90,Heavy-Duty Vehicles,Industrial Processes and Product Use,Table A-90: HFC Emissions from Transportation Sources (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,Refrigerant Use,2F1b
EPA_GHGI_T_A_90,Light-Duty Trucks - Households,Industrial Processes and Product Use,Table A-90: HFC Emissions from Transportation Sources (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,Refrigerant Use,2F1b
EPA_GHGI_T_A_90,Passenger Cars - Households,Industrial Processes and Product Use,Table A-90: HFC Emissions from Transportation Sources (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,Refrigerant Use,2F1b
EPA_GHGI_T_A_90,Medium- and Heavy-Duty Trucks,Industrial Processes and Product Use,Table A-90: HFC Emissions from Transportation Sources (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,Refrigerant Use,2F1b
EPA_GHGI_T_A_90,Rail,Industrial Processes and Product Use,Table A-90: HFC Emissions from Transportation Sources (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,Refrigerant Use,2F1b
EPA_GHGI_T_A_90,Ships and Boats,Industrial Processes and Product Use,Table A-90: HFC Emissions from Transportation Sources (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,Refrigerant Use,2F1b
