"NAICS_Code","BEA_Code","Location","allocation_factor"
"23821","233210","US",0.0320433690894745
"238170","233210","US",0.0320433690894745
"238330","233210","US",0.0320433690894745
"238350","233210","US",0.0320433690894745
"238390","233210","US",0.0320433690894745
"23839","233210","US",0.0320433690894745
"2381","233210","US",0.0320433690894745
"238110","233210","US",0.0320433690894745
"238320","233210","US",0.0320433690894745
"23832","233210","US",0.0320433690894745
"238290","233210","US",0.0320433690894745
"23831","233210","US",0.0320433690894745
"2382","233210","US",0.0320433690894745
"238120","233230","US",0.0835391835069989
"23721","233230","US",0.0916286099286132
"23822","233230","US",0.0835391835069989
"23834","233230","US",0.0835391835069989
"23819","233230","US",0.0835391835069989
"23833","233230","US",0.0835391835069989
"2389","233230","US",0.0835391835069989
"23813","233230","US",0.0835391835069989
"23821","233230","US",0.0835391835069989
"238320","233230","US",0.0835391835069989
"23891","233230","US",0.0835391835069989
"238310","233230","US",0.0835391835069989
"2382","233230","US",0.0835391835069989
"236","233230","US",0.0894136217582239
"237210","233230","US",0.0916286099286132
"2362","233230","US",0.171273743421169
"23815","233230","US",0.0835391835069989
"2381","233230","US",0.0835391835069989
"2372","233230","US",0.0916286099286132
"23811","233230","US",0.0835391835069989
"238210","233230","US",0.0835391835069989
"238220","233230","US",0.0835391835069989
"23816","233230","US",0.0835391835069989
"23829","233230","US",0.0835391835069989
"23835","233230","US",0.0835391835069989
"238140","233230","US",0.0835391835069989
"238110","233230","US",0.0835391835069989
"238340","233230","US",0.0835391835069989
"23812","233230","US",0.0835391835069989
"23899","233230","US",0.0835391835069989
"238290","233230","US",0.0835391835069989
"238330","233230","US",0.0835391835069989
"2383","233230","US",0.0835391835069989
"23832","233230","US",0.0835391835069989
"238150","233230","US",0.0835391835069989
"238350","233230","US",0.0835391835069989
"238190","233230","US",0.0835391835069989
"23814","233230","US",0.0835391835069989
"238170","233230","US",0.0835391835069989
"23831","233230","US",0.0835391835069989
"23817","233230","US",0.0835391835069989
"236210","233230","US",0.396163918942126
"238160","233230","US",0.0835391835069989
"238130","233230","US",0.0835391835069989
"23621","233230","US",0.396163918942126
"238390","233230","US",0.0835391835069989
"238","233230","US",0.0835391835069989
"238910","233230","US",0.0835391835069989
"23839","233230","US",0.0835391835069989
"238990","233230","US",0.0835391835069989
"23821","233240","US",0.0656995895671194
"23829","233240","US",0.0656995895671194
"23815","233240","US",0.0656995895671194
"23822","233240","US",0.0656995895671194
"23721","233240","US",0.0720615382171076
"238160","233240","US",0.0656995895671194
"2383","233240","US",0.0656995895671194
"23812","233240","US",0.0656995895671194
"23811","233240","US",0.0656995895671194
"238150","233240","US",0.0656995895671194
"23819","233240","US",0.0656995895671194
"23816","233240","US",0.0656995895671194
"23813","233240","US",0.0656995895671194
"237210","233240","US",0.0720615382171076
"23834","233240","US",0.0656995895671194
"23891","233240","US",0.0656995895671194
"23817","233240","US",0.0656995895671194
"237","233240","US",0.307851388670889
"23839","233240","US",0.0656995895671194
"238110","233240","US",0.0656995895671194
"2382","233240","US",0.0656995895671194
"238320","233240","US",0.0656995895671194
"238910","233240","US",0.0656995895671194
"238130","233240","US",0.0656995895671194
"238220","233240","US",0.0656995895671194
"238340","233240","US",0.0656995895671194
"238","233240","US",0.0656995895671194
"238170","233240","US",0.0656995895671194
"23831","233240","US",0.0656995895671194
"238390","233240","US",0.0656995895671194
"238330","233240","US",0.0656995895671194
"238990","233240","US",0.0656995895671194
"23833","233240","US",0.0656995895671194
"23899","233240","US",0.0656995895671194
"23814","233240","US",0.0656995895671194
"2372","233240","US",0.0720615382171076
"23835","233240","US",0.0656995895671194
"2381","233240","US",0.0656995895671194
"238210","233240","US",0.0656995895671194
"238310","233240","US",0.0656995895671194
"2389","233240","US",0.0656995895671194
"238120","233240","US",0.0656995895671194
"238290","233240","US",0.0656995895671194
"238350","233240","US",0.0656995895671194
"238140","233240","US",0.0656995895671194
"23832","233240","US",0.0656995895671194
"238190","233240","US",0.0656995895671194
"23819","233262","US",0.0607863454000691
"237210","233262","US",0.0666725253686762
"23832","233262","US",0.0607863454000691
"238310","233262","US",0.0607863454000691
"23815","233262","US",0.0607863454000691
"238120","233262","US",0.0607863454000691
"2362","233262","US",0.124625409161316
"2389","233262","US",0.0607863454000691
"236","233262","US",0.0650608141892023
"23822","233262","US",0.0607863454000691
"23721","233262","US",0.0666725253686762
"23833","233262","US",0.0607863454000691
"23835","233262","US",0.0607863454000691
"2381","233262","US",0.0607863454000691
"23813","233262","US",0.0607863454000691
"236220","233262","US",0.179873123712417
"238190","233262","US",0.0607863454000691
"238150","233262","US",0.0607863454000691
"238220","233262","US",0.0607863454000691
"238330","233262","US",0.0607863454000691
"238990","233262","US",0.0607863454000691
"238140","233262","US",0.0607863454000691
"23814","233262","US",0.0607863454000691
"2372","233262","US",0.0666725253686762
"23811","233262","US",0.0607863454000691
"238160","233262","US",0.0607863454000691
"238290","233262","US",0.0607863454000691
"23816","233262","US",0.0607863454000691
"238340","233262","US",0.0607863454000691
"238","233262","US",0.0607863454000691
"23839","233262","US",0.0607863454000691
"238110","233262","US",0.0607863454000691
"238390","233262","US",0.0607863454000691
"23834","233262","US",0.0607863454000691
"23622","233262","US",0.179873123712417
"238130","233262","US",0.0607863454000691
"238350","233262","US",0.0607863454000691
"2383","233262","US",0.0607863454000691
"23829","233262","US",0.0607863454000691
"238170","233262","US",0.0607863454000691
"23891","233262","US",0.0607863454000691
"2382","233262","US",0.0607863454000691
"23812","233262","US",0.0607863454000691
"238320","233262","US",0.0607863454000691
"23831","233262","US",0.0607863454000691
"23899","233262","US",0.0607863454000691
"23821","233262","US",0.0607863454000691
"23817","233262","US",0.0607863454000691
"238910","233262","US",0.0607863454000691
"238210","233262","US",0.0607863454000691
"23815","2332A0","US",0.117779344004498
"23819","2332A0","US",0.117779344004498
"23832","2332A0","US",0.117779344004498
"23899","2332A0","US",0.117779344004498
"23835","2332A0","US",0.117779344004498
"2362","2332A0","US",0.241473621102005
"23829","2332A0","US",0.117779344004498
"238190","2332A0","US",0.117779344004498
"238350","2332A0","US",0.117779344004498
