Row ID,USEEIO Sector Name,USEEIO Sector Code,NAICS Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
51,Grain farming,1111B0,11116,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,45181183.24673313,0.0007806279285174527,265.0,,11973013.56038428,0.08840823074443001,Detail_Use_2022
52,Grain farming,1111B0,11116,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,9202039.156674089,0.0001589902753494262,265.0,,2438540.376518633,0.01800608002317749,Detail_Use_2022
53,Grain farming,1111B0,11116,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1716032608.5317357,0.02964913453353149,1.0,,1716032.6085317356,0.012671112920310645,Detail_Use_2022
54,Grain farming,1111B0,11116,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,548562568.4056914,0.009477911614183133,1.0,,548562.5684056914,0.004050563033339703,Detail_Use_2022
55,Grain farming,1111B0,11116,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,2007321.2109582194,3.468193805864438e-05,265.0,,531940.1209039282,0.003927823577073197,USDA_CoA_Cropland
56,Grain farming,1111B0,11116,Process & Fugitive Gases,Agriculture,Agricultural Processes,Field Burning Of Residues,Rice,,Methane,Methane,3571428.5710000005,6.170615036801549e-05,28.0,,99999.99998800001,0.0007383958122818957,Direct
57,Grain farming,1111B0,11116,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,257948.01321500557,4.456754089896085e-06,265.0,,68356.22350197648,0.000504739491833216,Detail_Use_2022
58,Grain farming,1111B0,11116,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,221935.78501580577,3.834544818684228e-06,28.0,,6214.201980442561,4.588540719583274e-05,Detail_Use_2022
59,Grain farming,1111B0,11116,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,7846.035837317726,1.3556162682396983e-07,265.0,,2079.1994968891972,1.53527220158584e-05,Detail_Use_2022
60,Grain farming,1111B0,11116,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,49504.748682374,8.553292906177476e-07,28.0,,1386.1329631064718,1.023514775346536e-05,Detail_Use_2022
61,Grain farming,1111B0,11119,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,45181183.24673313,0.0007806279285174527,265.0,,11973013.56038428,0.08840823074443001,Detail_Use_2022
62,Grain farming,1111B0,11119,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,9202039.156674089,0.0001589902753494262,265.0,,2438540.376518633,0.01800608002317749,Detail_Use_2022
63,Grain farming,1111B0,11119,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,8523542.211721854,0.00014726739368537016,265.0,,2258738.686106291,0.01667843187060138,USDA_CoA_Cropland
64,Grain farming,1111B0,11119,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1716032608.5317357,0.02964913453353149,1.0,,1716032.6085317356,0.012671112920310645,Detail_Use_2022
65,Grain farming,1111B0,11119,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,548562568.4056914,0.009477911614183133,1.0,,548562.5684056914,0.004050563033339703,Detail_Use_2022
66,Grain farming,1111B0,11119,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,257948.01321500557,4.456754089896085e-06,265.0,,68356.22350197648,0.000504739491833216,Detail_Use_2022
67,Grain farming,1111B0,11119,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,221935.78501580577,3.834544818684228e-06,28.0,,6214.201980442561,4.588540719583274e-05,Detail_Use_2022
68,Grain farming,1111B0,11119,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,7846.035837317726,1.3556162682396983e-07,265.0,,2079.1994968891972,1.53527220158584e-05,Detail_Use_2022
69,Grain farming,1111B0,11119,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,49504.748682374,8.553292906177476e-07,28.0,,1386.1329631064718,1.023514775346536e-05,Detail_Use_2022
70,Vegetable and melon farming,111200,1112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,48931683.30122931,0.0026020570753113167,265.0,,12966896.074825767,0.6906728698393824,Detail_Use_2022
71,Vegetable and melon farming,111200,1112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,9965902.470525602,0.000529960248366158,265.0,,2640964.1546892845,0.14066915330673657,Detail_Use_2022
72,Vegetable and melon farming,111200,1112,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1516054005.3327615,0.08061972907911522,1.0,,1516054.0053327614,0.08075158192464639,Detail_Use_2022
73,Vegetable and melon farming,111200,1112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,3790808.777582656,0.00020158515169277618,265.0,,1004564.326059404,0.053507433237220285,USDA_CoA_Cropland
74,Vegetable and melon farming,111200,1112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,594098869.025903,0.03159260138398846,1.0,,594098.8690259029,0.03164427080086436,Detail_Use_2022
75,Vegetable and melon farming,111200,1112,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,168306.5050764575,8.950093330308828e-06,265.0,,44601.22384526124,0.002375653748884479,Detail_Use_2022
76,Vegetable and melon farming,111200,1112,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,144809.16469116404,7.700567119976816e-06,28.0,,4054.6566113525932,0.0002159685172007326,Detail_Use_2022
77,Vegetable and melon farming,111200,1112,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,6931.694653126368,3.6860912805777016e-07,265.0,,1836.8990830784876,9.78411760219337e-05,Detail_Use_2022
