Row ID,USEEIO Sector Name,USEEIO Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
10375,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,9977376.500685345,0.0001826293633647848,1.0,9977376.500685345,9.977376500685345,0.041774914360008325,Detail_Use_2022
10376,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-125,2461.5891707438022,4.5057782783651506e-08,3170.0,7803237.6712578535,7.803237671257854,0.032671873756111754,Detail_Use_2022
10377,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,9156.517367956843,1.676040728175074e-07,677.0,6198962.258106783,6.198962258106783,0.025954830654686296,Detail_Use_2022
10378,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-134a,4026.6772043346164,7.370569751002268e-08,1300.0,5234680.365635001,5.234680365635001,0.0219174172650895,Detail_Use_2022
10379,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-143a,672.8484235179853,1.2316051140261975e-08,4800.0,3229672.4328863295,3.2296724328863293,0.0135225216052976,Detail_Use_2022
10380,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Carbon dioxide,Carbon dioxide,1831595.6861161496,3.352616332300397e-05,1.0,1831595.6861161496,1.8315956861161498,0.0076688248583590135,Detail_Use_2022
10381,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,466.6729712553577,8.609296504128313e-09,3170.0,1479353.318879484,1.479353318879484,0.00619399881322906,Detail_Use_2022
10382,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-32,1680.906569963092,3.076789742543614e-08,677.0,1137973.7478650133,1.1379737478650134,0.004764654902792654,Detail_Use_2022
10383,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,763.3854737284394,1.4083120932830613e-08,1300.0,992401.1158469712,0.9924011158469712,0.0041551475603267265,Detail_Use_2022
10384,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,127.55994247112412,2.353256851000559e-09,4800.0,612287.7238613957,0.6122877238613957,0.002563626543133585,Detail_Use_2022
10385,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Non-Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,451383.5315909189,8.087777969596915e-06,1.0,451383.5315909189,0.4513835315909189,0.0018899265126893323,Detail_Use_2022
10386,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,43.94851331586497,8.044488455611417e-10,8060.0,354225.0173258717,0.3542250173258717,0.0014831273293078899,Detail_Use_2022
10387,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,347237.55334040703,6.405922858643194e-06,1.0,347237.55334040703,0.347237553340407,0.001453871070454034,Detail_Use_2022
10388,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,9428.93236798241,1.6716300620330857e-07,28.0,264010.10630350746,0.26401010630350746,0.0011054007614374518,Detail_Use_2022
10389,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,318.66961096936456,5.878894507882821e-09,677.0,215739.3266262598,0.2157393266262598,0.0009032927536891887,Detail_Use_2022
10390,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,Natural gas,Natural Gas,Methane,Methane,4872.060447371542,8.673196055957858e-08,28.0,136417.69252640317,0.13641769252640318,0.0005711759421015122,Detail_Use_2022
10391,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,332.0881923716243,5.887502253167814e-09,265.0,88003.37097848044,0.08800337097848043,0.00036846692973503957,Detail_Use_2022
10392,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-236fa,8.067843024168448,1.4767659966822887e-10,8060.0,65026.81477479769,0.06502681477479769,0.00027226492035603767,Detail_Use_2022
10393,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Non-Manufacturing,Natural gas,Natural Gas,Nitrous oxide,Nitrous oxide,102.95675166280424,1.8328263823939564e-09,265.0,27283.53919064312,0.027283539190643122,0.00011423519128989036,Detail_Use_2022
10394,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,1.5295177280020462,2.8216915141384712e-11,8060.0,12327.912887696493,0.012327912887696493,5.161652515426162e-05,Detail_Use_2022
10395,"Community food, housing, and other relief services, including vocational rehabilitation services",624A00,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Transportation Lubricants,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,5359.95155288294,5.726560211033066e-09,1.0,5359.95155288294,0.00535995155288294,2.244192319294536e-05,Detail_Use_2022
10396,Performing arts companies,711100,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,87023269.59340957,0.0014662916700676413,1.0,87023269.59340957,87.02326959340957,0.5896931643222224,Detail_Use_2022
10397,Performing arts companies,711100,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,48597995.17317417,0.0009758834428678152,1.0,48597995.17317417,48.59799517317417,0.32931313299627485,Detail_Use_2022
10398,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,1103.3614650848224,2.0458847678352826e-08,3170.0,3497655.8443188868,3.4976558443188868,0.02370106009786972,Detail_Use_2022
10399,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,1804.8830050125002,3.346666314285295e-08,1300.0,2346347.90651625,2.3463479065162502,0.015899486747153593,Detail_Use_2022
10400,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,301.5917648550968,5.592201806451238e-09,4800.0,1447640.4713044646,1.4476404713044646,0.00980960258460678,Detail_Use_2022
10401,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,820978.6278290746,1.5222823367904114e-05,1.0,820978.6278290746,0.8209786278290746,0.005563172782950767,Detail_Use_2022
10402,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-125,202.54944769673074,3.7557304916782975e-09,3170.0,642081.7491986364,0.6420817491986364,0.004350919245019563,Detail_Use_2022
10403,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,753.4350401552891,1.3970410613248762e-08,677.0,510075.52218513074,0.5100755221851307,0.0034564094192967316,Detail_Use_2022
10404,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-134a,331.3311796641304,6.1436386445817e-09,1300.0,430730.5335633695,0.4307305335633695,0.0029187463593808517,Detail_Use_2022
10405,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,117.13145308663486,2.356921416284905e-09,3170.0,371306.7062846325,0.3713067062846325,0.0025160744658992793,Detail_Use_2022
10406,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-143a,55.364671809148206,1.0265877712325945e-09,4800.0,265750.4246839114,0.26575042468391136,0.0018007966097345778,Detail_Use_2022
10407,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,191.6040896101386,3.8554612817437726e-09,1300.0,249085.31649318017,0.24908531649318016,0.0016878693383429188,Detail_Use_2022
10408,Performing arts companies,711100,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,Natural gas,Natural Gas,Methane,Methane,8081.0554177779095,1.3616110150543106e-07,28.0,226269.55169778146,0.22626955169778146,0.0015332635575960973,Detail_Use_2022
10409,Performing arts companies,711100,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,7998.3533850135655,1.60612811512625e-07,28.0,223953.89478037984,0.22395389478037983,0.0015175720412753796,Detail_Use_2022
10410,Performing arts companies,711100,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Non-Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,207948.7255227401,7.570221601761132e-07,1.0,207948.7255227401,0.2079487255227401,0.0014091166942268576,Detail_Use_2022
10411,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,32.01659906957549,6.44238639879899e-10,4800.0,153679.67553396235,0.15367967553396236,0.0010413749630535348,Detail_Use_2022
10412,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Carbon dioxide,Carbon dioxide,150711.05245171417,2.79452796125776e-06,1.0,150711.05245171417,0.15071105245171418,0.001021258771749416,Detail_Use_2022
10413,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-32,138.31174650193714,2.564616441079483e-09,677.0,93637.05238181145,0.09363705238181144,0.0006345099417066464,Detail_Use_2022
10414,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,87154.0493969476,1.7537155061816356e-06,1.0,87154.0493969476,0.0871540493969476,0.0005905793635714358,Detail_Use_2022
10415,Performing arts companies,711100,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,281.7030193787442,5.656803566442925e-09,265.0,74651.30013536722,0.07465130013536722,0.0005058573597989298,Detail_Use_2022
10416,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,79.9837078350309,1.6094337514179564e-09,677.0,54148.97020431592,0.05414897020431592,0.0003669280381415479,Detail_Use_2022
10417,Performing arts companies,711100,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Non-Manufacturing,Natural gas,Natural Gas,Nitrous oxide,Nitrous oxide,170.7694772691869,2.877366745601768e-09,265.0,45253.91147633453,0.04525391147633453,0.00030665271922233564,Detail_Use_2022
10418,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,3.616260261874277,6.70537445834022e-11,8060.0,29147.05771070667,0.02914705771070667,0.0001975083305007275,Detail_Use_2022
10419,Performing arts companies,711100,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Other Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,47.98919982787602,1.304125219519431e-09,265.0,12717.137954387146,0.012717137954387146,8.617475942334301e-05,Detail_Use_2022
10420,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-236fa,0.6638545408271619,1.2309383063619727e-11,8060.0,5350.667599066925,0.0053506675990669245,3.6257567918007945e-05,Detail_Use_2022
10421,Performing arts companies,711100,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Other Non-Road,Aggregated Fossil Fuels,Methane,Methane,113.54587174047012,3.085653343672757e-09,28.0,3179.284408733163,0.0031792844087331633,2.1543689314658284e-05,Detail_Use_2022
10422,Performing arts companies,711100,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,0.3838976007560909,7.724795117270391e-12,8060.0,3094.214662094093,0.003094214662094093,2.0967233749174887e-05,Detail_Use_2022
10423,Spectator sports,711200,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,315725595.0762027,0.0017811792281523203,1.0,315725595.0762027,315.7255950762027,0.8503444149261998,Detail_Use_2022
10424,Spectator sports,711200,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,33316442.94485051,0.0005270892777094798,1.0,33316442.94485051,33.316442944850515,0.08973124645318435,Detail_Use_2022
10425,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,2153.710628097033,2.5785121533705002e-08,3170.0,6827262.691067594,6.827262691067594,0.018387881087632885,Detail_Use_2022
10426,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,3523.0482787146266,4.217940277150087e-08,1300.0,4579962.762329015,4.579962762329015,0.012335223422657486,Detail_Use_2022
10427,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,588.6931978950605,7.048080394719438e-09,4800.0,2825727.3498962903,2.8257273498962903,0.007610537465321995,Detail_Use_2022
10428,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,1602512.3698334596,1.918594618810587e-05,1.0,1602512.3698334596,1.6025123698334596,0.004316049964872618,Detail_Use_2022
10429,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-125,395.3671684429337,4.733500571404785e-09,3170.0,1253313.9239640997,1.2533139239640998,0.003375553049903623,Detail_Use_2022
10430,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,1470.6704057662691,1.7607479228633863e-08,677.0,995643.8647037642,0.9956438647037642,0.0026815697327359223,Detail_Use_2022
10431,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-134a,646.743162276115,7.7430787696475e-09,1300.0,840766.1109589494,0.8407661109589494,0.0022644371500530644,Detail_Use_2022
10432,Spectator sports,711200,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,Natural gas,Natural Gas,Methane,Methane,29318.549424106266,1.6540183009607186e-07,28.0,820919.3838749755,0.8209193838749755,0.002210983917899528,Detail_Use_2022
10433,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-143a,108.06928270537344,1.2938505072431822e-09,4800.0,518732.55698579253,0.5187325569857926,0.0013971034960494487,Detail_Use_2022
10434,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,128.56053108909884,2.374542112916729e-09,3170.0,407536.88355244335,0.40753688355244333,0.001097619952926552,Detail_Use_2022
10435,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Carbon dioxide,Carbon dioxide,294181.014752036,3.5220577543382757e-06,1.0,294181.014752036,0.294181014752036,0.0007923183510394178,Detail_Use_2022
10436,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,210.29982015935047,3.884285286291381e-09,1300.0,273389.7662071556,0.2733897662071556,0.0007363212372317317,Detail_Use_2022
10437,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-32,269.97814212134415,3.2322908728893085e-09,677.0,182775.20221614998,0.18277520221614998,0.0004922688398259181,Detail_Use_2022
10438,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,35.140612291448065,6.490550642007898e-10,4800.0,168674.9389989507,0.1686749389989507,0.0004542925709939888,Detail_Use_2022
10439,Spectator sports,711200,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Non-Manufacturing,Natural gas,Natural Gas,Nitrous oxide,Nitrous oxide,619.5618147143172,3.4952840445487114e-09,265.0,164183.88089929405,0.16418388089929406,0.0004421967946878887,Detail_Use_2022
10440,Spectator sports,711200,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,5483.28553996915,8.674938736771383e-08,28.0,153531.9951191362,0.1535319951191362,0.00041350804812173564,Detail_Use_2022
10441,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,95658.08825704413,1.766826545310663e-06,1.0,95658.08825704413,0.09565808825704414,0.00025763613200970427,Detail_Use_2022
10442,Spectator sports,711200,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Non-Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,61130.89867615489,2.613119127478956e-07,1.0,61130.89867615489,0.061130898676154885,0.00016464397907347807,Detail_Use_2022
10443,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,87.78810205779125,1.6214661185926993e-09,677.0,59432.545093124674,0.05943254509312467,0.0001600697997658072,Detail_Use_2022
10444,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,7.058773037143225,8.45105736430334e-11,8060.0,56893.710679374395,0.0568937106793744,0.0001532319516539558,Detail_Use_2022
10445,Spectator sports,711200,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,193.12201129038976,3.0553244117132525e-09,265.0,51177.332991953284,0.05117733299195328,0.0001378360195030192,Detail_Use_2022
10446,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-236fa,1.2958134077847467,1.551401834992884e-11,8060.0,10444.256066745058,0.010444256066745058,2.8129537018600576e-05,Detail_Use_2022
10447,Spectator sports,711200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,0.42135633202236245,7.782546839650246e-12,8060.0,3396.1320361002413,0.0033961320361002413,9.146809616600048e-06,Detail_Use_2022
10448,Spectator sports,711200,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Other Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,6.477911853397075,6.985777907254476e-11,265.0,1716.646641150225,0.001716646641150225,4.623448039908184e-06,Detail_Use_2022
10449,Spectator sports,711200,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Other Non-Road,Aggregated Fossil Fuels,Methane,Methane,15.327201768107702,1.6528849097495635e-10,28.0,429.1616495070157,0.00042916164950701567,1.155861980941793e-06,Detail_Use_2022
10450,"Independent artists, writers, and performers",711500,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,12513865.97858028,0.0002712301708308227,1.0,12513865.97858028,12.513865978580279,0.4293446445649731,Detail_Use_2022
10451,"Independent artists, writers, and performers",711500,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,10051229.02289281,0.00021767074437844958,1.0,10051229.02289281,10.05122902289281,0.34485277049168545,Detail_Use_2022
10452,"Independent artists, writers, and performers",711500,Fuel Combustion,Energy,Mobile Combustion,Military Aircraft,Military Aircraft Jet Fuel,Jet Fuel,Carbon dioxide,Carbon dioxide,5665262.19604976,9.074815622456702e-06,1.0,5665262.19604976,5.66526219604976,0.19437238564755013,Direct
10453,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,72.18917244393477,1.555980591883611e-09,3170.0,228839.6766472732,0.2288396766472732,0.007851377807678396,Detail_Use_2022
10454,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,118.08733095455538,2.5452791449483177e-09,1300.0,153513.530240922,0.153513530240922,0.005266974425810539,Detail_Use_2022
10455,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,SF6 and PFCs from Other Product Use,AWACs,,Fluorinated gases (F-Gases),Sulfur hexafluoride,5.832433118431584,9.34259586731613e-12,23500.0,137062.17828314222,0.1370621782831422,0.004702536555769711,Direct
10456,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,19.7321191737664,4.2531024295866674e-10,4800.0,94714.17203407871,0.09471417203407871,0.0032495970946822272,Detail_Use_2022
10457,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Transportation Lubricants,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,88903.58248572123,1.4240887558502417e-07,1.0,88903.58248572123,0.08890358248572122,0.0030502385983851837,Detail_Use_2022
10458,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,53713.82780037716,1.157759131233638e-06,1.0,53713.82780037716,0.053713827800377166,0.001842895260717304,Detail_Use_2022
10459,"Independent artists, writers, and performers",711500,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,1654.2509910610045,3.58246781356697e-08,28.0,46319.027749708126,0.04631902774970813,0.0015891832739645306,Detail_Use_2022
10460,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,49.29468153475143,1.0625079240342642e-09,677.0,33372.49939902672,0.033372499399026714,0.0011449941942198647,Detail_Use_2022
10461,"Independent artists, writers, and performers",711500,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,Natural gas,Natural Gas,Methane,Methane,1162.0483226616348,2.5186666183630025e-08,28.0,32537.353034525775,0.032537353034525776,0.001116340729364149,Detail_Use_2022
10462,"Independent artists, writers, and performers",711500,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,58.262929450619,1.2617497018822607e-09,265.0,15439.676304414035,0.015439676304414035,0.0005297277712949382,Detail_Use_2022
10463,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,2.504980258326073,8.97713682026259e-11,3170.0,7940.787418893652,0.007940787418893652,0.0002724445473338608,Detail_Use_2022
10464,"Independent artists, writers, and performers",711500,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Non-Manufacturing,Natural gas,Natural Gas,Nitrous oxide,Nitrous oxide,24.556493473104968,5.322465440429693e-10,265.0,6507.470770372816,0.006507470770372816,0.0002232681514813256,Detail_Use_2022
10465,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,4.097656515307953,1.468483556231348e-10,1300.0,5326.95346990034,0.00532695346990034,0.00018276517808831345,Detail_Use_2022
10466,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,0.6847089017900929,2.4538019702913308e-11,4800.0,3286.602728592446,0.003286602728592446,0.00011276173827889155,Detail_Use_2022
10467,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,0.23659955862834306,5.099716603066022e-12,8060.0,1906.992442544445,0.001906992442544445,6.542798155532302e-05,Detail_Use_2022
10468,"Independent artists, writers, and performers",711500,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,1863.8817108420237,6.679621956859317e-08,1.0,1863.8817108420237,0.0018638817108420237,6.394887335555532e-05,Detail_Use_2022
