Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Electronics Manufacturing,Electronics Industry | Semiconductors | PV | MEMS,,Fluorinated gases (F-Gases),HFC-23
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Electronics Manufacturing,Electronics Industry | Semiconductors | PV | MEMS,,Fluorinated gases (F-Gases),Hexafluoroethane
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Electronics Manufacturing,Electronics Industry | Semiconductors | PV | MEMS,,Fluorinated gases (F-Gases),Nitrogen trifluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Electronics Manufacturing,Electronics Industry | Semiconductors | PV | MEMS,,Fluorinated gases (F-Gases),Perfluorocyclobutane
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Electronics Manufacturing,Electronics Industry | Semiconductors | PV | MEMS,,Fluorinated gases (F-Gases),Perfluoropropane
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Electronics Manufacturing,Electronics Industry | Semiconductors | PV | MEMS,,Fluorinated gases (F-Gases),Sulfur hexafluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Electronics Manufacturing,Electronics Industry | Semiconductors | PV | MEMS,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Glass Production,Glass Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,HCFC-22 Production,HCFC-22 Production,,Fluorinated gases (F-Gases),HFC-23
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Magnesium production,Magnesium Production and Processing,,Fluorinated gases (F-Gases),Sulfur hexafluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Aluminum Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Ferroalloy Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Iron and Steel Production & Metallurgical Coke Production,Coal,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Lead Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Titanium Dioxide Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Zinc Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Nitrous Oxide Use,N2O from Product Uses,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,PFCs from aluminum production,Aluminum Production,,Fluorinated gases (F-Gases),Carbon tetrafluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,PFCs from aluminum production,Aluminum Production,,Fluorinated gases (F-Gases),Hexafluoroethane
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Acrylonitrile,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Carbon Black,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Ethylene,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Ethylene Dichloride,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Ethylene Oxide,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Methanol,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),Carbon tetrafluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),HFC-23
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),Nitrogen trifluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),Perfluorobutane
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),Perfluorocyclobutane
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Production Of Fluorochemicals Other Than HCFC-22,Fluorochemical Production,,Fluorinated gases (F-Gases),Perfluorohexane
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Urea Consumption,Urea Consumption for Non-Agricultural Purposes,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-125
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-134a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-143a
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-236fa
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),HFC-32
Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Commercial Stationary Air Conditioning,,Fluorinated gases (F-Gases),"HFCs and PFCs, unspecified"
